,Kolejka,season,home,away,date,hour,gh,ga,IsCancelled,IsWalkover
209,7,1928,Klub TurystÛw £ÅÛdü,Warta PoznaÒ,4/15/1928,16:00,1,3,0,0
210,7,1928,Legia Warszawa,PogoÒ LwÛw,4/15/1928,16:00,7,0,0,0
211,7,1928,TKS ToruÒ,Wis≥a KrakÛw,4/15/1928,15:00,2,7,0,0
212,7,1928,Cracovia,ålπsk åwiÍtoch≥owice,4/15/1928,16:00,2,1,0,0
213,7,1928,Czarni LwÛw,1. FC Katowice,4/15/1928,15:30,2,3,0,0
214,8,1928,Wis≥a KrakÛw,Warta PoznaÒ,4/22/1928,16:00,3,2,0,0
215,8,1928,Ruch ChorzÛw,Cracovia,4/22/1928,16:00,4,1,0,0
216,8,1928,Warszawianka Warszawa,PogoÒ LwÛw,4/22/1928,16:00,3,0,0,0
217,8,1928,£ÅKS £ÅÛdü,1. FC Katowice,4/22/1928,16:00,0,3,0,0
218,8,1928,Hasmonea LwÛw,Polonia Warszawa,4/22/1928,16:15,1,4,0,0
219,8,1928,ålπsk åwiÍtoch≥owice,Legia Warszawa,4/22/1928,11:00,1,4,0,0
220,9,1928,TKS ToruÒ,Warta PoznaÒ,4/29/1928,16:00,2,2,0,0
221,9,1928,1. FC Katowice,Hasmonea LwÛw,4/29/1928,16:00,5,0,0,0
222,9,1928,Czarni LwÛw,£ÅKS £ÅÛdü,4/29/1928,16:30,3,1,0,0
223,9,1928,Polonia Warszawa,ålπsk åwiÍtoch≥owice,4/29/1928,16:00,8,0,0,0
224,9,1928,Cracovia,Warszawianka Warszawa,4/29/1928,16:00,1,1,0,0
225,9,1928,Klub TurystÛw £ÅÛdü,PogoÒ LwÛw,4/29/1928,16:30,5,4,0,0
226,10,1928,Czarni LwÛw,Ruch ChorzÛw,5/3/1928,15:00,1,0,0,0
227,10,1928,Legia Warszawa,Wis≥a KrakÛw,5/3/1928,16:30,1,0,0,0
228,10,1928,Hasmonea LwÛw,£ÅKS £ÅÛdü,5/3/1928,16:30,3,1,0,0
229,10,1928,1. FC Katowice,TKS ToruÒ,5/3/1928,17:00,5,3,0,0
230,11,1928,Klub TurystÛw £ÅÛdü,Legia Warszawa,5/6/1928,16:30,3,1,0,0
231,11,1928,PogoÒ LwÛw,Cracovia,5/6/1928,16:30,3,2,0,0
232,11,1928,ålπsk åwiÍtoch≥owice,Warszawianka Warszawa,5/6/1928,16:30,0,1,0,0
233,11,1928,Warta PoznaÒ,Hasmonea LwÛw,5/6/1928,16:30,2,2,0,0
